cadet_id,grad_year,academic_major,is_ic,squadron,gpa,pea,avg_study_hours
C01610,2030,Undeclared,1,11,3.2,4,20.5
C01401,2030,Undeclared,0,32,2.11,2.65,16
C01325,2030,Undeclared,0,21,3.06,2.44,17.1
C03723,2030,Biology,0,3,2.54,2.35,15.5
C03664,2030,Undeclared,1,17,3.34,2.47,15.6
C00632,2030,Undeclared,1,33,2.49,2.68,17.1
C01622,2030,Geospatial Science,1,2,2.45,3.19,13.1
C00253,2030,Management,1,13,2.23,3.71,12.2
C01534,2030,Undeclared,1,9,3.68,2.29,18.4
C03374,2030,Undeclared,0,31,2.32,2.12,17.9
C01983,2030,Undeclared,0,33,2.53,1.83,16
C02796,2030,Undeclared,0,32,2.17,3,17.3
C00490,2030,Electrical & Computer Engineering,1,24,2.92,2.97,17.7
C02069,2030,Undeclared,0,13,2.37,2.89,15.8
C03121,2030,Undeclared,1,16,1.51,3.06,9.4
C02231,2030,Undeclared,1,15,1.82,3.57,13.2
C00041,2030,Undeclared,0,6,2.03,1.5,17.9
C03174,2030,Computer Science,0,17,2.39,2.31,14.5
C01500,2030,Undeclared,0,33,2.91,2.18,13.6
C03154,2030,Undeclared,0,20,3.43,2.62,19.4
C01686,2030,Meteorology,0,26,2.98,2.27,22
C00431,2030,Undeclared,1,3,1.85,4,10.6
C03032,2030,Astronautical Engineering,1,3,2.73,2.46,18.4
C02245,2030,Undeclared,0,39,2.04,2.09,16.3
C03888,2030,Foreign Area Studies,0,15,1.91,2.67,19.5
C03378,2030,Astronautical Engineering,0,3,3.12,2.19,21.9
C02903,2030,Undeclared,1,30,1.78,3.5,11.9
C01798,2030,Aeronautical Engineering,1,19,1.47,3.15,13.2
C00420,2030,Economics,0,10,2.77,3.07,16
C00294,2030,Undeclared,0,4,2.79,2.88,18.6
C03770,2030,Political Science,0,26,1.29,2.44,14.5
C03148,2030,Undeclared,0,22,3.48,2.22,12.8
C03404,2030,Undeclared,1,39,3.62,2.95,17.8
C02339,2030,Undeclared,1,1,3,2.93,6.3
C00274,2030,Undeclared,1,10,1.53,3.79,9.9
C01022,2030,Undeclared,0,25,2.3,2.91,14.8
C00238,2030,Management,0,17,2.09,2.32,16.2
C02371,2030,Undeclared,0,21,2.11,2.05,17.4
C00894,2030,Computer Science,1,22,2.85,3.34,13.4
C01495,2030,Undeclared,0,9,2.39,2,13.2
C01221,2030,Undeclared,0,14,2.33,2.09,11.1
C03060,2030,Undeclared,0,15,3.01,2.58,20.9
C03139,2030,Civil & Environmental Engineering,1,7,3.71,3.23,20.6
C02289,2030,Legal Studies,0,19,1.63,2.26,19.3
C00853,2030,Undeclared,0,24,2.59,2.8,18
C00182,2030,Management,0,35,1.67,2.29,15.1
C00644,2030,Undeclared,1,35,0.99,3.55,11.6
C00317,2030,Electrical & Computer Engineering,0,40,4,2.18,30
C02439,2030,Undeclared,0,29,2.31,1.46,16.6
C03646,2030,Aeronautical Engineering,0,32,3.89,2.57,22.8
C03210,2030,Undeclared,1,28,2.61,1.85,16.8
C03961,2030,Undeclared,0,30,3.81,2.5,21.9
C00864,2030,Undeclared,1,40,1.34,2.85,12.7
C01203,2030,Undeclared,0,27,2.49,3.29,16.9
C00957,2030,Undeclared,1,9,1.95,3.63,13.9
C00603,2030,Aeronautical Engineering,0,14,3.16,3.04,16.9
C02769,2030,Undeclared,0,28,1.93,1.8,12.4
C01286,2030,Undeclared,0,28,1.8,2.19,14.4
C00223,2030,Undeclared,0,5,1.75,1.96,16.9
C01643,2030,Biology,1,12,2.6,2.67,16.2
C03946,2030,Civil & Environmental Engineering,1,36,2.82,3.34,22.7
C03613,2030,Undeclared,0,9,3.53,1.44,19
C02749,2030,Civil & Environmental Engineering,1,11,2.83,3.62,14.7
C00675,2030,Undeclared,0,25,2.49,1.79,17
C03537,2030,Undeclared,0,5,1.92,2.97,18.5
C03247,2030,Undeclared,0,15,3.91,2.06,17.8
C01965,2030,Undeclared,1,16,3.12,3.84,10.9
C01398,2030,Undeclared,1,15,2.08,3.83,12.5
C02274,2030,Aeronautical Engineering,0,6,2.9,1.78,20.5
C02997,2030,Undeclared,0,13,1.98,1.88,11.6
C02014,2030,Undeclared,0,33,3.53,2.54,20
C01455,2030,Undeclared,1,35,3.12,3.53,16
C01167,2030,Undeclared,0,7,2.93,3.02,19
C01201,2030,Undeclared,0,34,3.52,2.09,19.2
C00600,2030,Civil & Environmental Engineering,1,16,3.08,2.39,17
C03796,2030,Cyber Science,1,36,3.75,3.39,13.4
C02925,2030,Undeclared,1,12,3.55,4,17.6
C02410,2030,Undeclared,1,23,1.45,3.91,12.1
C00409,2030,Undeclared,0,34,1.7,2.09,15.2
C03615,2030,Undeclared,1,13,2.19,3.34,11.3
C00893,2030,History,0,2,2.62,2.55,17.1
C02849,2030,Undeclared,1,27,2.81,3.1,15.7
C03573,2030,Physics,0,38,3.55,1.57,20.8
C02163,2030,Mathematical Sciences,0,35,2.04,2.38,16
C02132,2030,Undeclared,0,13,2.24,2.45,17.5
C01157,2030,Undeclared,0,16,2.6,2.84,21.4
C02456,2029,Aeronautical Engineering,0,8,3.25,2.43,21.9
C03937,2029,Data Science,1,40,3.07,3.6,13.6
C03700,2029,Management,0,37,3.65,2.08,20.7
C00582,2029,Undeclared,1,28,3.85,3.54,13.2
C03995,2029,Systems Engineering,0,4,2.34,1.98,21.1
C00613,2029,Mechanical Engineering,0,31,3.31,3.32,22.9
C01432,2029,Undeclared,0,25,1.68,2.99,17.9
C01550,2029,Economics,0,39,2.55,2.64,17.3
C00958,2029,Cyber Science,0,22,3.31,1.89,19
C03302,2029,Computer Science,0,38,3.69,1.49,22.8
C02268,2029,Undeclared,0,3,2.12,2.71,13
C02653,2029,Political Science,0,33,3.43,3.74,19.9
C01151,2029,Management,0,13,3.02,2.51,14.6
C01085,2029,Economics,0,15,2,2.94,17.5
C01153,2029,Mechanical Engineering,1,38,2.53,3.25,17.1
C03088,2029,Civil & Environmental Engineering,0,9,4,3.36,22.4
C03497,2029,Legal Studies,0,37,2.19,2.51,16.7
C02164,2029,Aeronautical Engineering,0,12,2.79,2.44,25.6
C03596,2029,Economics,1,5,3.82,3.82,16.7
C01695,2029,Undeclared,1,22,1.54,3.43,7.8
C03471,2029,Management,0,16,2.39,2.5,15.4
C03351,2029,Behavioral Sciences,0,22,2.55,2.41,17.6
C00645,2029,Undeclared,0,12,2.56,2.73,18.6
C02238,2029,Management,0,38,2.52,2.37,14.6
C02054,2029,Computer Science,0,39,2.85,2.43,15.8
C02887,2029,Military & Strategic Studies,0,30,2.55,2.86,14.5
C01076,2029,Geospatial Science,1,14,2.42,3.51,15.9
C01183,2029,Undeclared,0,6,2.78,2.21,15.5
C02413,2029,Geospatial Science,0,12,2.6,2.5,21.7
C03544,2029,Economics,0,6,2.96,3.26,19.1
C00430,2029,Mathematical Sciences,0,21,2.75,2.6,21.1
C01169,2029,Management,0,35,3.12,2.57,16.4
C01817,2029,Systems Engineering,1,3,3.34,4,13.1
C03345,2029,Civil & Environmental Engineering,0,19,1.14,3.11,19
C03279,2029,Legal Studies,1,9,2.98,3.36,12.4
C00840,2029,English,0,32,2.52,2.35,24.2
C02504,2029,Mathematical Sciences,1,22,2.03,3.37,11.7
C01691,2029,English,0,2,1.68,2.08,14.5
C03824,2029,Undeclared,0,24,2.49,1.76,14.1
C02246,2029,Chemistry,0,19,2.48,2.72,15.6
C02186,2029,Mechanical Engineering,0,4,3.01,2.93,21.9
C00784,2029,Management,0,21,3.17,2.31,18.6
C00876,2029,Systems Engineering,1,4,3.84,3.05,20.7
C03067,2029,Military & Strategic Studies,0,19,0.82,2.36,19.9
C01736,2029,Biology,0,10,3.11,1.14,20.9
C00159,2029,Operations Research,0,8,3.51,2.81,21
C02440,2029,Mechanical Engineering,0,7,2.84,1.46,21.3
C02282,2029,Mathematical Sciences,0,14,2.77,2.64,20.7
C01291,2029,Systems Engineering,0,27,1.87,3.59,15.5
C00073,2029,Physics,1,8,3.8,4,15
C03068,2029,Electrical & Computer Engineering,0,26,3.89,1.99,22.6
C00719,2029,English,0,19,2.47,2.78,15.9
C02960,2029,Computer Science,0,4,3.88,2.49,23
C03390,2029,Cyber Science,1,10,1.63,3.79,11.2
C02144,2029,Behavioral Sciences,0,21,1.72,3.32,15.5
C03597,2029,History,0,34,1.27,3.09,7.9
C01132,2029,Undeclared,1,33,2.8,3.15,12.1
C00764,2029,Systems Engineering,1,28,3.35,3.5,17.5
C04017,2029,Aeronautical Engineering,0,8,2.4,2.75,20.3
C00153,2029,Behavioral Sciences,0,8,1.62,2.21,13.7
C00560,2029,Undeclared,0,4,3.66,1.77,17.5
C02692,2029,Mechanical Engineering,0,25,1.98,2.41,14.9
C01815,2029,Systems Engineering,0,32,3.12,2.12,19
C03871,2029,Political Science,0,35,2.61,2.3,22
C02727,2029,Economics,0,6,1.69,3.14,19.3
C03593,2029,Computer Science,1,9,2.52,2.81,18.4
C01488,2029,Economics,0,12,1.53,2.04,13.5
C03289,2029,Biology,1,10,2.6,4,14.6
C03964,2029,Economics,0,2,1.47,2.5,14.8
C00520,2029,Civil & Environmental Engineering,0,28,2.58,2.79,15.4
C00543,2029,Undeclared,0,37,2.37,2.54,17.2
C00873,2029,Foreign Area Studies,1,30,2.54,3.55,14.9
C02961,2029,Mechanical Engineering,1,20,2.7,3.48,19.4
C00627,2029,Operations Research,0,20,3.49,3.19,15.7
C01242,2029,Systems Engineering,1,14,4,3.43,21.5
C01951,2029,Management,0,32,2.46,1.98,11.2
C01359,2029,Political Science,0,27,2.29,2.99,17.7
C02981,2029,English,0,12,2.12,2.32,11.8
C01352,2029,Data Science,1,40,1.74,3.25,14
C00994,2029,Biology,0,4,2.69,2.24,25.9
C03198,2029,Data Science,0,21,2.57,1.67,17.6
C00681,2029,Mathematical Sciences,0,7,2.99,3.1,23.9
C03973,2029,Computer Science,0,23,3.34,2.3,18.9
C02679,2029,Operations Research,0,23,1.89,2.78,13.9
C01355,2029,Management,0,7,2.62,2.16,24.9
C00712,2029,Electrical & Computer Engineering,0,38,2.87,2.97,23
C03026,2029,Management,0,4,1.92,2.5,14.1
C02340,2029,Civil & Environmental Engineering,1,19,3.28,3.28,19.1
C02574,2029,Undeclared,0,10,3.4,2.52,18.4
C03678,2029,Physics,0,11,2.51,2.93,17.4
C00324,2029,Systems Engineering,0,31,3.19,2.23,25.8
C03403,2029,Cyber Science,0,7,3.2,3.11,18.5
C01913,2029,Aeronautical Engineering,1,24,2.48,3.78,16.6
C03783,2029,Operations Research,0,36,2.91,2.59,19.9
C00404,2029,Astronautical Engineering,0,8,2.32,2.49,21.3
C01889,2029,Mathematical Sciences,1,27,2.67,3.38,17.8
C00671,2029,Management,1,7,1.24,3.99,9.4
C03909,2029,Management,0,21,2.41,3.51,19.5
C00766,2029,Military & Strategic Studies,0,1,1.57,2.51,11.8
C01403,2029,Mechanical Engineering,0,12,3.87,2.08,22.2
C00610,2029,Systems Engineering,0,8,2.34,3.25,19.5
C00711,2029,Undeclared,0,6,1.46,1.39,17
C02675,2029,Undeclared,1,8,1.84,4,7.2
C01978,2029,Behavioral Sciences,0,25,2.43,2.21,14.9
C00810,2029,Civil & Environmental Engineering,0,8,3.05,2.3,20.8
C03683,2029,Undeclared,1,15,1.45,4,15
C02948,2029,Military & Strategic Studies,1,24,3.27,3.33,17.9
C00406,2029,Political Science,0,12,2.82,3.89,17.8
C00654,2029,Operations Research,0,21,2.26,1.79,18.8
C01349,2029,Operations Research,0,28,2.17,2.75,12.9
C00089,2029,Civil & Environmental Engineering,0,22,1.7,2.5,20.8
C01391,2029,Electrical & Computer Engineering,1,24,2.49,3.19,21.1
C02000,2029,Behavioral Sciences,0,9,2.05,2.11,17.8
C02184,2029,Meteorology,0,25,3.52,1.89,17
C00426,2029,Computer Science,1,34,2.68,3.48,17.2
C01485,2029,Behavioral Sciences,0,23,2.91,1.74,17.9
C02262,2029,Undeclared,1,37,2.38,3.8,6.5
C02777,2029,Management,0,12,2.68,2.89,15.6
C02113,2029,English,0,39,2.15,2.7,12.5
C00866,2029,Civil & Environmental Engineering,0,35,2.09,2.37,20.3
C03096,2029,Aeronautical Engineering,0,33,3.27,2.37,18.2
C00141,2029,Cyber Science,0,34,3.45,2.72,17.4
C00700,2029,Military & Strategic Studies,0,30,3.45,3.03,18.1
C03864,2029,Mechanical Engineering,0,20,3.53,2.83,24.1
C03207,2029,Systems Engineering,1,17,3.74,3.83,14.6
C01494,2029,Undeclared,0,23,1.53,2.03,15.4
C00574,2029,Undeclared,0,14,3.2,1.7,18.9
C03417,2029,Electrical & Computer Engineering,0,17,3.98,2.53,25.8
C01336,2029,Computer Science,0,2,3.22,2.72,19.9
C03423,2029,Aeronautical Engineering,1,31,3.78,2.96,23.8
C01360,2029,Economics,0,40,2.47,2.61,15.7
C01615,2029,History,0,8,3.3,1.75,21.5
C02033,2029,Chemistry,0,22,1.39,1.98,17.3
C03421,2029,Aeronautical Engineering,0,4,2.01,2.54,20.3
C02236,2029,Astronautical Engineering,0,31,3.47,3.03,30.2
C02434,2029,Undeclared,0,26,2.5,2.93,16.1
C02431,2029,Aeronautical Engineering,0,40,3.26,2.26,23.9
C02907,2029,Undeclared,0,27,2.28,1.95,14.5
C03129,2029,Management,0,40,2.02,1.29,12.8
C00638,2029,Political Science,0,19,2.73,2.23,17.7
C02498,2029,Astronautical Engineering,0,35,1.78,1.84,21.4
C01337,2029,Military & Strategic Studies,0,35,3.17,3.39,16.2
C01097,2029,Data Science,0,10,2.28,2.68,20.5
C03580,2029,Legal Studies,0,13,2.45,2.24,21.3
C02878,2029,Philosophy,1,35,1.55,4,13.6
C03894,2029,Behavioral Sciences,0,33,1.75,1.44,16.1
C01847,2029,Chemistry,0,12,2.28,2.62,18.3
C01663,2029,Biology,0,29,2.69,3.13,16
C04002,2029,Physics,1,16,3.29,3.14,16.9
C02975,2029,Cyber Science,0,34,4,2.36,22.9
C03178,2029,Management,0,33,3.09,3.17,13
C02278,2029,Foreign Area Studies,0,14,3.59,2.16,21.2
C03049,2029,Undeclared,0,14,2.99,2.38,19
C00758,2029,Management,0,10,1.75,2.7,13.8
C03639,2029,Meteorology,0,26,2.6,3.17,14.2
C01718,2029,Foreign Area Studies,1,37,3.33,2.78,14.5
C02721,2029,Political Science,0,24,3.1,2.65,18
C03614,2029,Management,1,19,1.65,3.31,13.8
C02093,2029,Military & Strategic Studies,1,25,1.77,3.78,8.3
C00820,2029,English,0,14,3.09,2.38,14.5
C03304,2029,Management,1,14,2.62,3.67,13.6
C02701,2029,Geospatial Science,0,21,3.24,1.71,20.6
C02801,2029,Management,0,13,1.55,3.63,15.7
C03219,2029,Systems Engineering,1,34,1.88,3.74,15.8
C02513,2029,Political Science,0,31,3.57,2.3,12.4
C03898,2029,Foreign Area Studies,1,28,1.38,3.09,13.5
C01290,2029,Civil & Environmental Engineering,1,25,2.81,3.31,18
C01581,2029,Astronautical Engineering,0,29,2.58,1.96,21.6
C03146,2029,Computer Science,0,1,3.44,2.6,14.4
C03750,2029,Systems Engineering,0,23,2.69,2.55,14.3
C02865,2029,Aeronautical Engineering,0,22,1.9,2.84,21.1
C03719,2029,Computer Science,0,18,3.44,2.21,17.8
C03246,2029,Behavioral Sciences,1,20,3.48,3.29,19.1
C02116,2029,Civil & Environmental Engineering,0,37,1.38,2.14,21.4
C03268,2029,Chemistry,0,32,2.53,2.45,23.8
C02452,2029,Electrical & Computer Engineering,0,37,3.14,1.97,20.5
C02923,2029,Computer Science,1,18,2.29,3.43,19.3
C01898,2029,Geospatial Science,0,1,3.18,3.18,21.3
C00696,2029,Mechanical Engineering,0,1,2.48,1.63,25.8
C02614,2029,Computer Science,1,26,3.05,3.12,23.4
C03602,2029,Biology,0,1,2.11,2.43,14.7
C03209,2029,Management,0,27,2.06,3.09,13.4
C00432,2029,Economics,0,25,3.37,2.87,16.1
C02809,2029,Undeclared,1,19,2.82,2.8,17.5
C00809,2029,History,0,18,2.9,2.73,22.1
C00739,2029,Geospatial Science,1,18,1.63,3.67,13.1
C02315,2029,Data Science,0,20,3.07,1.69,23.1
C03005,2029,Management,1,35,3,3.11,8.8
C00797,2029,Military & Strategic Studies,1,1,1.95,3.91,12.8
C03025,2029,Undeclared,0,27,3.1,2.47,15.6
C04014,2029,Mathematical Sciences,0,28,2.6,3.32,18
C02932,2029,Computer Science,0,8,3.5,2.1,17.5
C01822,2029,English,0,28,2.42,2.7,21.2
C02989,2029,Civil & Environmental Engineering,0,6,2.9,2.82,18.2
C03258,2029,Management,0,16,3.22,3.06,11.6
C03695,2029,Computer Science,0,26,3.04,1.88,17.2
C02705,2029,Economics,0,20,1.39,1.42,21.7
C00587,2029,Mechanical Engineering,1,39,1.32,3.98,15.9
C02152,2029,Undeclared,0,22,3.58,1.7,16.6
C01992,2029,Computer Science,0,31,2.96,2.08,24.5
C01789,2029,Electrical & Computer Engineering,0,34,2.83,2.56,21.8
C00639,2029,Electrical & Computer Engineering,0,6,3.06,1.76,24.5
C02741,2029,Physics,0,26,2.79,2.86,22.9
C03312,2029,Political Science,0,31,2.59,2.65,16.6
C01598,2029,Military & Strategic Studies,0,19,3.26,2.07,22.9
C03123,2029,Management,0,37,1.86,2.74,16.1
C01302,2029,History,1,3,2.41,2.78,15
C03857,2029,Cyber Science,0,31,4,2.47,22.9
C01619,2029,Management,1,11,2.44,4,10.9
C01347,2029,Computer Science,0,14,1.67,2.32,12.6
C01229,2029,Biology,1,8,1.84,2.73,15.3
C01934,2029,Aeronautical Engineering,1,19,2.66,3.48,14.5
C03440,2029,Legal Studies,0,9,3.23,2.78,19.8
C02463,2029,Political Science,0,8,1.15,2.77,16.6
C03812,2029,Computer Science,1,13,2.03,4,9.5
C03175,2029,Undeclared,0,14,3.13,1.91,15.2
C00116,2029,Electrical & Computer Engineering,1,35,2.95,3.16,20.6
C03803,2029,Political Science,0,26,1.4,1.68,16.2
C00865,2029,Cyber Science,1,11,2.95,3.5,13.5
C03116,2029,Political Science,0,6,2.91,3.19,18.1
C00977,2029,Electrical & Computer Engineering,0,37,2.21,2.36,18
C00361,2029,Management,0,14,1.9,2.27,15.2
C02897,2029,Management,0,8,1.6,2.26,13.2
C02798,2029,Electrical & Computer Engineering,0,36,2.88,2.35,23.4
C03652,2029,Undeclared,0,26,1.61,3.01,18.7
C02739,2029,Economics,0,32,1.62,2.65,16.8
C03153,2029,Management,0,12,2.36,2.34,12.5
C00138,2029,Cyber Science,1,30,2.22,4,17.8
C01206,2029,Behavioral Sciences,0,33,3.72,2.59,13.6
C04021,2029,English,0,38,1.88,2.44,17.2
C00969,2029,Economics,0,26,2.05,1.51,14.6
C01960,2029,Civil & Environmental Engineering,0,5,3.17,3.16,21.1
C02745,2029,Physics,0,36,3.18,2.24,19.4
C01986,2029,Political Science,0,38,1.39,2.14,14.6
C03863,2029,Undeclared,0,11,2.42,1.85,13.9
C02097,2029,English,0,2,2.31,2.52,14.5
C03094,2029,Military & Strategic Studies,1,14,3.53,3.22,15.5
C03007,2029,Physics,0,29,2.25,3.14,19
C00898,2029,Behavioral Sciences,0,8,2.19,2.03,14.7
C00372,2029,Mechanical Engineering,1,36,2.2,3.2,22.7
C00001,2029,English,0,33,2.01,1.86,14.7
C03795,2029,Operations Research,0,12,1.56,2.41,13.7
C03578,2029,Physics,1,39,3.63,3.76,16.7
C02011,2029,Military & Strategic Studies,0,7,2.37,2.68,16
C02474,2029,Economics,0,26,3.63,2.25,21.7
C03557,2029,Undeclared,0,17,2.75,3.08,15.7
C02022,2029,Undeclared,1,1,2.55,3.82,15.3
C02808,2029,Political Science,1,1,1.98,3.64,13.4
C00733,2029,Computer Science,1,25,2.51,3.75,16.8
C02664,2029,Behavioral Sciences,0,25,3.03,2.24,19.9
C02660,2029,Astronautical Engineering,0,30,2.93,2.97,21.8
C02442,2029,Electrical & Computer Engineering,0,24,3.25,2.53,24.7
C00433,2029,Management,1,5,0.92,3.36,3.7
C01797,2029,Chemistry,0,5,3.1,2.95,24.9
C01749,2029,Computer Science,0,24,1.64,2.77,23
C00546,2029,Astronautical Engineering,0,26,3.01,2.69,18.2
C00940,2029,Military & Strategic Studies,0,34,2.36,2.4,15.6
C00511,2029,Economics,0,39,2.01,2.93,17
C02856,2029,Geospatial Science,0,4,1.95,2.82,16.6
C02722,2029,Cyber Science,0,34,3.65,2.39,22.4
C00013,2029,Military & Strategic Studies,0,16,2.87,2.68,14.1
C00470,2029,Mathematical Sciences,1,22,2.07,4,13.9
C02056,2029,Undeclared,1,12,2.56,4,11.9
C02362,2029,Management,0,31,2.25,3.47,21.1
C03135,2029,Data Science,0,1,3.11,2.47,18.4
C02257,2029,History,1,38,2.53,3.22,14
C02630,2029,Management,0,33,2.46,2.81,20
C00334,2029,Aeronautical Engineering,0,23,3.92,1.98,22.7
C02382,2029,Undeclared,0,35,2.83,1.88,18.4
C03975,2029,Management,1,26,2.21,3.68,9
C02913,2029,Management,1,18,2.92,3.24,12.7
C01396,2029,Mathematical Sciences,0,6,2.54,2.32,15.5
C00773,2029,Military & Strategic Studies,1,25,2.06,3.57,15.7
C02515,2029,Economics,0,33,2.6,2.58,13.7
C02822,2029,Mechanical Engineering,0,20,2.8,2.6,21.9
C02969,2029,Undeclared,0,31,1.19,2.61,18.3
C00330,2029,Physics,0,32,3.62,1.75,19.6
C03036,2029,Systems Engineering,0,21,3.31,2.56,22
C01995,2029,Management,1,21,2.21,3.94,16.5
C02585,2029,Biology,1,1,2.81,2.9,15.1
C02625,2029,Systems Engineering,1,30,2.62,3.31,16.1
C02223,2029,Management,0,4,2.63,2.1,19.8
C00423,2029,Mechanical Engineering,1,5,3.23,2.95,19.9
C01975,2029,Behavioral Sciences,0,34,2.5,2.26,6.7
C01970,2029,Foreign Area Studies,0,39,2.22,2.82,13.3
C03733,2029,Mathematical Sciences,1,30,2.72,3.62,18.4
C02783,2029,Management,0,22,1.71,2.86,14.6
C01696,2029,Political Science,0,9,3.09,2.47,21.9
C03370,2029,Meteorology,1,21,2.02,3.41,16.7
C03231,2029,Cyber Science,0,29,1.32,1.14,17.1
C02104,2029,Management,0,37,2.71,1.96,16.5
C02267,2029,Undeclared,0,13,2.51,3.04,15.5
C01743,2029,Undeclared,0,25,2,1.65,18.7
C00170,2029,Aeronautical Engineering,0,6,3.5,3.03,18.7
C00271,2029,Management,1,15,2.09,4,12
C00002,2029,Electrical & Computer Engineering,0,22,2.13,2.19,20.1
C00157,2029,Behavioral Sciences,0,35,3.08,2.59,18.8
C03379,2029,Military & Strategic Studies,0,4,2.2,2.89,16.5
C03044,2029,Undeclared,0,19,2.65,2.09,16.9
C02964,2029,Undeclared,0,5,2.03,2.52,8.2
C00755,2029,Meteorology,0,37,2.38,2.51,15.8
C00606,2029,Economics,0,40,1.82,1.73,15.2
C02872,2029,Behavioral Sciences,0,15,2.88,2.4,20.5
C03893,2029,Systems Engineering,0,22,2.15,2.07,17.5
C00227,2029,Management,0,30,1.66,1.76,15.5
C01472,2029,Meteorology,0,6,2.83,2.06,15.8
C01617,2029,Economics,1,37,2.61,2.96,22.2
C01510,2029,Electrical & Computer Engineering,0,40,2.96,3.03,22.9
C00925,2029,Management,0,38,2.32,2.6,10.1
C03141,2029,Biology,1,11,2.37,4,14.7
C03412,2029,Management,0,33,2.76,2.13,15.3
C02333,2029,Management,0,26,2,3.09,11
C01900,2029,Cyber Science,1,19,2.77,2.99,14.5
C03884,2029,Behavioral Sciences,0,40,2.77,2.77,15.7
C01316,2029,Management,0,36,3.14,2.12,16.3
C01569,2029,Systems Engineering,0,19,1.02,2.43,12.7
C02572,2029,Data Science,0,5,2.86,1.62,19
C01747,2029,Political Science,0,27,2.48,1.95,16.6
C02800,2029,Undeclared,1,15,2.88,3.11,12.6
C02398,2029,Undeclared,0,40,2.82,2.62,16.5
C00539,2029,Cyber Science,0,7,2.77,2.34,20
C03651,2029,Management,1,27,2.54,4,13.3
C02159,2029,Aeronautical Engineering,0,34,3.16,2.21,22.5
C02706,2029,Political Science,0,29,2.03,2.91,17.9
C00736,2029,Mathematical Sciences,1,25,3.17,3.81,15
C00586,2029,Computer Science,0,33,2.16,1.73,20.8
C00989,2029,Undeclared,0,21,2.23,2.76,16.7
C03877,2029,Computer Science,0,18,3.32,2.37,22
C03385,2029,Electrical & Computer Engineering,0,3,3.45,2.01,23.3
C02538,2029,Undeclared,0,23,2,2.86,21.1
C03972,2029,Electrical & Computer Engineering,0,10,3.56,2.66,21.8
C01194,2029,Aeronautical Engineering,0,29,2.54,3.05,23.1
C00368,2029,Computer Science,0,19,2.36,4,18.2
C01192,2029,Political Science,1,37,2.39,3.64,14.7
C03666,2029,Operations Research,1,35,2.49,3.65,15.9
C00382,2029,Computer Science,0,28,2.09,1.96,23.6
C02605,2029,Political Science,1,30,1.74,4,14.8
C03095,2029,Mechanical Engineering,1,27,3.48,3.15,20.5
C02980,2029,Geospatial Science,1,22,3.63,3.26,16.4
C02490,2029,Mechanical Engineering,0,30,2.75,3,18.3
C01635,2029,Mathematical Sciences,0,40,3.88,2.89,24.1
C02758,2029,Electrical & Computer Engineering,0,35,2.56,2,23.6
C02247,2029,Management,0,38,1.99,2.23,12.7
C03171,2029,Foreign Area Studies,0,36,2.05,3.06,14.3
C02637,2029,Aeronautical Engineering,0,13,3.02,1.7,22.6
C00578,2029,Operations Research,0,1,2.89,2.42,16
C00924,2029,Economics,0,34,3.39,2.41,18.3
C01164,2029,Management,0,29,1.94,2.68,11.5
C00717,2029,Behavioral Sciences,0,29,2.25,2.73,12.3
C03997,2029,Undeclared,0,16,2.33,2.74,13.3
C01412,2029,Management,0,27,2.42,2.78,11.3
C01274,2029,Cyber Science,0,8,2.12,2.19,18.9
C02880,2029,Cyber Science,0,38,2.81,2.2,14.9
C01715,2029,Operations Research,1,2,2.34,3.62,7.5
C03457,2029,Mechanical Engineering,0,10,3.28,3.41,23.1
C01866,2029,History,0,38,2.46,2.57,12.9
C01693,2029,History,0,11,2.07,1.95,15.3
C03948,2029,Undeclared,1,6,2.67,3.82,11
C03624,2029,Management,1,2,2.7,3.85,14.6
C03568,2029,Economics,1,38,1.78,3.44,11.3
C01924,2029,Management,0,28,2.95,2.01,19.4
C03505,2029,History,0,9,2.27,2.37,14.3
C01035,2029,Undeclared,1,19,2.38,3.41,17.7
C01499,2029,Physics,0,33,2.25,2.47,20.5
C01803,2029,Economics,0,40,2.65,2.41,19.5
C01385,2029,Management,0,32,2.24,2.01,14.8
C00790,2029,Economics,0,21,1.93,1.63,13.9
C02349,2029,Mechanical Engineering,0,6,3.31,2.37,22.7
C02005,2029,Cyber Science,0,21,3.04,3.11,22.1
C00707,2029,History,1,40,2.51,4,11.8
C01755,2029,Undeclared,1,18,2.79,3.65,18.4
C00452,2029,Management,0,37,2.89,3.17,16.9
C00568,2029,Undeclared,1,22,1.73,3.2,10.1
C01304,2029,Physics,0,24,3.62,2.22,25
C00369,2029,Biology,0,5,1.91,2.23,18.2
C02812,2029,Management,0,38,3.81,1.85,13.1
C02689,2029,Philosophy,1,33,2.23,3.86,17.7
C03839,2029,Military & Strategic Studies,0,31,3.21,2.63,20
C02555,2029,Data Science,0,16,3.58,2.64,17.2
C00319,2029,Aeronautical Engineering,1,22,2.68,3.37,14.3
C01520,2029,Economics,0,33,3.1,2.07,12.7
C01148,2029,Political Science,0,15,1.79,2.04,17.2
C03677,2029,Political Science,0,21,1.81,2.53,14.2
C01521,2029,Management,0,40,1.83,3.01,15.7
C01907,2029,Management,0,37,2.84,2.56,15.7
C02215,2029,Astronautical Engineering,1,32,4,4,25.1
C02252,2029,Management,0,36,2.67,1.83,10.4
C03933,2029,Aeronautical Engineering,0,35,2.45,2.02,23
C04007,2029,Legal Studies,0,11,2.96,2.29,18.9
